         1    -136.000      -1.000         NaN
35001.0000  2.5782-317  0.0000E+00  0.0000E+00
35001.3333  2.5782-317 -7.0336E-13  0.0000E+00
35001.6667  2.5782-317 -7.8376E-12  0.0000E+00
35002.0000  2.5782-317 -7.9931E-12  0.0000E+00
35002.3333  2.5782-317 -8.8502E-12  0.0000E+00
35002.6667  2.5782-317 -1.7163E-11  0.0000E+00
35003.0000  2.5782-317 -1.8302E-11  0.0000E+00
35003.3333  2.5782-317 -2.0512E-11  0.0000E+00
35003.6667  2.5782-317 -3.9334E-11  0.0000E+00
35004.0000  2.5782-317 -4.1747E-11  0.0000E+00
35004.3333  2.5782-317 -4.5445E-11  0.0000E+00
35004.6667  2.5782-317 -5.8633E-11  0.0000E+00
35005.0000  2.5782-317 -6.1837E-11  0.0000E+00
35005.3333  2.5782-317 -6.5533E-11  0.0000E+00
35005.6667  2.5782-317 -7.1848E-11  0.0000E+00
35006.0000  2.5782-317 -7.5615E-11  0.0000E+00
35006.3333  2.5782-317 -8.0160E-11  0.0000E+00
35006.6667  2.5782-317 -9.2672E-11  0.0000E+00
35007.0000  2.5782-317 -9.6795E-11  0.0000E+00
35007.3333  2.5782-317 -1.0169E-10  0.0000E+00
35007.6667  2.5782-317 -1.2301E-10  0.0000E+00
35008.0000  2.5782-317 -1.2695E-10  0.0000E+00
35008.3333  2.5782-317 -1.3102E-10  0.0000E+00
35008.6667  2.5782-317 -1.3924E-10  0.0000E+00
35009.0000  2.5782-317 -1.4298E-10  0.0000E+00
35009.3333  2.5782-317 -1.4757E-10  0.0000E+00
35009.6667  2.5782-317 -1.6209E-10  0.0000E+00
35010.0000  2.5782-317 -1.7587E-10  0.0000E+00
35010.3333  2.5782-317 -1.4781E-10  0.0000E+00
35010.6667  2.5782-317 -1.6882E-10  0.0000E+00
35011.0000  2.5782-317 -1.6281E-10  0.0000E+00
35011.3333  2.5782-317 -1.5779E-10  0.0000E+00
35011.6667  2.5782-317 -1.5981E-10  0.0000E+00
35012.0000  2.5782-317 -1.5556E-10  0.0000E+00
35012.3333  2.5782-317 -1.1911E-10  0.0000E+00
35012.6667  2.5782-317 -5.2586E-11  0.0000E+00
35013.0000  2.5782-317  1.3192E-10  0.0000E+00
35013.3333  2.5782-317  1.1440E-09  0.0000E+00
35013.6667  2.5782-317  1.1686E-09  0.0000E+00
35014.0000  2.5782-317  7.0710E-10  0.0000E+00
